字頭,轉號,韻圖開合(修正後),韻圖母位置,韻圖聲,韻圖韻,韻圖等
籠,1,,舌齒音第一位,平,東,一
洪,1,,喉音第三位,平,東,一
烘,1,,喉音第二位,平,東,一
翁,1,,喉音第一位,平,東,一
𣞷,1,,齒音第四位,平,東,一
叢,1,,齒音第三位,平,東,一
悤,1,,齒音第二位,平,東,一
葼,1,,齒音第一位,平,東,一
㟅,1,,牙音第四位,平,東,一
空,1,,牙音第二位,平,東,一
公,1,,牙音第一位,平,東,一
同,1,,舌音第三位,平,東,一
通,1,,舌音第二位,平,東,一
東,1,,舌音第一位,平,東,一
蒙,1,,脣音第四位,平,東,一
蓬,1,,脣音第三位,平,東,一
崇,1,,齒音第三位,平,東,二
戎,1,,舌齒音第二位,平,東,三
隆,1,,舌齒音第一位,平,東,三
肜,1,,喉音第四位,平,東,三
雄,1,,喉音第三位,平,東,三
充,1,,齒音第二位,平,東,三
終,1,,齒音第一位,平,東,三
𧲤,1,,牙音第四位,平,東,三
窮,1,,牙音第三位,平,東,三
穹,1,,牙音第二位,平,東,三
弓,1,,牙音第一位,平,東,三
蟲,1,,舌音第三位,平,東,三
忡,1,,舌音第二位,平,東,三
中,1,,舌音第一位,平,東,三
瞢,1,,脣音第四位,平,東,三
馮,1,,脣音第三位,平,東,三
豐,1,,脣音第二位,平,東,三
風,1,,脣音第一位,平,東,三
融,1,,喉音第四位,平,東,四
嵩,1,,齒音第四位,平,東,四
䏊,1,,舌齒音第一位,上,董,一
𢦅,1,,喉音第三位,上,董,一
嗊,1,,喉音第二位,上,董,一
蓊,1,,喉音第一位,上,董,一
㪌,1,,齒音第四位,上,董,一
總,1,,齒音第一位,上,董,一
孔,1,,牙音第二位,上,董,一
𨑊,1,,舌音第四位,上,董,一
動,1,,舌音第三位,上,董,一
桶,1,,舌音第二位,上,董,一
董,1,,舌音第一位,上,董,一
蠓,1,,脣音第四位,上,董,一
菶,1,,脣音第三位,上,董,一
琫,1,,脣音第一位,上,董,一
弄,1,,舌齒音第一位,去,送,一
閧,1,,喉音第三位,去,送,一
烘,1,,喉音第二位,去,送,一
甕,1,,喉音第一位,去,送,一
送,1,,齒音第四位,去,送,一
𣀒,1,,齒音第三位,去,送,一
謥,1,,齒音第二位,去,送,一
糉,1,,齒音第一位,去,送,一
控,1,,牙音第二位,去,送,一
貢,1,,牙音第一位,去,送,一
齈,1,,舌音第四位,去,送,一
洞,1,,舌音第三位,去,送,一
痛,1,,舌音第二位,去,送,一
凍,1,,舌音第一位,去,送,一
夢,1,,脣音第四位,去,送,一
摓,1,,脣音第三位,去,送,一
㓽,1,,齒音第三位,去,送,二
𧽒,1,,喉音第二位,去,送,三
銃,1,,齒音第二位,去,送,三
眾,1,,齒音第一位,去,送,三
焪,1,,牙音第二位,去,送,三
仲,1,,舌音第三位,去,送,三
中,1,,舌音第一位,去,送,三
𢄐,1,,脣音第四位,去,送,三
鳳,1,,脣音第三位,去,送,三
賵,1,,脣音第二位,去,送,三
諷,1,,脣音第一位,去,送,三
趥,1,,齒音第二位,去,送,四
祿,1,,舌齒音第一位,入,屋,一
縠,1,,喉音第三位,入,屋,一
熇,1,,喉音第二位,入,屋,一
屋,1,,喉音第一位,入,屋,一
速,1,,齒音第四位,入,屋,一
族,1,,齒音第三位,入,屋,一
瘯,1,,齒音第二位,入,屋,一
鏃,1,,齒音第一位,入,屋,一
哭,1,,牙音第二位,入,屋,一
穀,1,,牙音第一位,入,屋,一
獨,1,,舌音第三位,入,屋,一
禿,1,,舌音第二位,入,屋,一
豰,1,,舌音第一位,入,屋,一
木,1,,脣音第四位,入,屋,一
暴,1,,脣音第三位,入,屋,一
扑,1,,脣音第二位,入,屋,一
卜,1,,脣音第一位,入,屋,一
縮,1,,齒音第四位,入,屋,二
珿,1,,齒音第二位,入,屋,二
縬,1,,齒音第一位,入,屋,二
肉,1,,舌齒音第二位,入,屋,三
六,1,,舌齒音第一位,入,屋,三
囿,1,,喉音第四位,入,屋,三
畜,1,,喉音第二位,入,屋,三
郁,1,,喉音第一位,入,屋,三
塾,1,,齒音第五位,入,屋,三
叔,1,,齒音第四位,入,屋,三
俶,1,,齒音第二位,入,屋,三
粥,1,,齒音第一位,入,屋,三
砡,1,,牙音第四位,入,屋,三
驧,1,,牙音第三位,入,屋,三
麴,1,,牙音第二位,入,屋,三
菊,1,,牙音第一位,入,屋,三
朒,1,,舌音第四位,入,屋,三
逐,1,,舌音第三位,入,屋,三
蓄,1,,舌音第二位,入,屋,三
竹,1,,舌音第一位,入,屋,三
目,1,,脣音第四位,入,屋,三
伏,1,,脣音第三位,入,屋,三
蝮,1,,脣音第二位,入,屋,三
福,1,,脣音第一位,入,屋,三
育,1,,喉音第四位,入,屋,四
肅,1,,齒音第四位,入,屋,四
𣤶,1,,齒音第三位,入,屋,四
鼀,1,,齒音第二位,入,屋,四
蹙,1,,齒音第一位,入,屋,四
䃧,2,,舌齒音第一位,平,冬,一
䃔,2,,喉音第三位,平,冬,一
鬆,2,,齒音第四位,平,冬,一
賨,2,,齒音第三位,平,冬,一
驄,2,,齒音第二位,平,冬,一
宗,2,,齒音第一位,平,冬,一
攻,2,,牙音第一位,平,冬,一
農,2,,舌音第四位,平,冬,一
彤,2,,舌音第三位,平,冬,一
炵,2,,舌音第二位,平,冬,一
冬,2,,舌音第一位,平,冬,一
茸,2,,舌齒音第二位,平,鍾,三
龍,2,,舌齒音第一位,平,鍾,三
容,2,,喉音第四位,平,鍾,三
匈,2,,喉音第二位,平,鍾,三
邕,2,,喉音第一位,平,鍾,三
鱅,2,,齒音第五位,平,鍾,三
舂,2,,齒音第四位,平,鍾,三
𧘂,2,,齒音第二位,平,鍾,三
鍾,2,,齒音第一位,平,鍾,三
顒,2,,牙音第四位,平,鍾,三
蛩,2,,牙音第三位,平,鍾,三
銎,2,,牙音第二位,平,鍾,三
恭,2,,牙音第一位,平,鍾,三
醲,2,,舌音第四位,平,鍾,三
重,2,,舌音第三位,平,鍾,三
傭,2,,舌音第二位,平,鍾,三
逢,2,,脣音第三位,平,鍾,三
峯,2,,脣音第二位,平,鍾,三
封,2,,脣音第一位,平,鍾,三
庸,2,,喉音第四位,平,鍾,四
松,2,,齒音第五位,平,鍾,四
淞,2,,齒音第四位,平,鍾,四
從,2,,齒音第三位,平,鍾,四
樅,2,,齒音第二位,平,鍾,四
縱,2,,齒音第一位,平,鍾,四
宂,2,,舌齒音第二位,上,腫,三
隴,2,,舌齒音第一位,上,腫,三
擁,2,,喉音第一位,上,腫,三
尰,2,,齒音第五位,上,腫,三
𨿿,2,,齒音第二位,上,腫,三
腫,2,,齒音第一位,上,腫,三
拲,2,,牙音第三位,上,腫,三
恐,2,,牙音第二位,上,腫,三
拱,2,,牙音第一位,上,腫,三
重,2,,舌音第三位,上,腫,三
寵,2,,舌音第二位,上,腫,三
冢,2,,舌音第一位,上,腫,三
奉,2,,脣音第三位,上,腫,三
捧,2,,脣音第二位,上,腫,三
覂,2,,脣音第一位,上,腫,三
甬,2,,喉音第四位,上,腫,四
悚,2,,齒音第四位,上,腫,四
𢛒,2,,齒音第二位,上,腫,四
䙕,2,,齒音第一位,上,腫,四
䃔,2,,喉音第三位,去,宋,一
宋,2,,齒音第四位,去,宋,一
綜,2,,齒音第一位,去,宋,一
統,2,,舌音第二位,去,宋,一
湩,2,,舌音第一位,去,宋,一
雺,2,,脣音第四位,去,宋,一
䩸,2,,舌齒音第二位,去,用,三
贚,2,,舌齒音第一位,去,用,三
種,2,,齒音第一位,去,用,三
共,2,,牙音第三位,去,用,三
恐,2,,牙音第二位,去,用,三
供,2,,牙音第一位,去,用,三
𢫨,2,,舌音第四位,去,用,三
重,2,,舌音第三位,去,用,三
蹱,2,,舌音第二位,去,用,三
俸,2,,脣音第三位,去,用,三
葑,2,,脣音第一位,去,用,三
用,2,,喉音第四位,去,用,四
頌,2,,齒音第五位,去,用,四
從,2,,齒音第三位,去,用,四
縱,2,,齒音第一位,去,用,四
濼,2,,舌齒音第一位,入,沃,一
鵠,2,,喉音第三位,入,沃,一
熇,2,,喉音第二位,入,沃,一
沃,2,,喉音第一位,入,沃,一
洬,2,,齒音第四位,入,沃,一
傶,2,,齒音第一位,入,沃,一
𤛹,2,,牙音第四位,入,沃,一
酷,2,,牙音第二位,入,沃,一
梏,2,,牙音第一位,入,沃,一
褥,2,,舌音第四位,入,沃,一
毒,2,,舌音第三位,入,沃,一
篤,2,,舌音第一位,入,沃,一
瑁,2,,脣音第四位,入,沃,一
僕,2,,脣音第三位,入,沃,一
蓴,2,,脣音第二位,入,沃,一
襮,2,,脣音第一位,入,沃,一
𤉐,2,,齒音第三位,入,燭,二
㑛,2,,齒音第二位,入,燭,二
辱,2,,舌齒音第二位,入,燭,三
錄,2,,舌齒音第一位,入,燭,三
